Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1471856400.0 134.81 NA 44 0 NA 86 0 NA 330 0 NA 361 0
1471856400.0 134.811 NA 42 0 NA 87 0 NA 376 0 NA 441 0
1471856400.0 134.812 NA 33 0 NA 84 0 NA 246 0 NA 267 0
1471856400.0 134.813 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 134.901 NA 40 0 NA 86 0 NA 295 0 NA 342 0
1471856400.0 134.902 NA 42 0 NA 90 0 NA 280 0 NA 535 0
1471856400.0 134.903 NA 42 0 NA 90 0 NA 275 0 NA 650 0
1471856400.0 134.904 NA 41 0 NA 88 0 NA 272 0 NA 480 0
1471856400.0 134.905 NA 41 0 NA 88 0 NA 253 0 NA 441 0
1471856400.0 134.906 NA 35 0 NA 88 0 NA 305 0 NA 426 0
1471856400.0 134.907 NA 81 0 NA 145 0 NA 881 0 NA 935 0
1471856400.0 134.908 NA 82 0 NA 148 0 NA 760 0 NA 1132 0
1471856400.0 134.909 NA 36 0 NA 89 0 NA 257 0 NA 378 0
1471856400.0 134.91 NA 35 0 NA 88 0 NA 245 0 NA 286 0
1471856400.0 134.911 NA 42 0 NA 87 0 NA 253 0 NA 371 0
1471856400.0 134.912 NA 36 0 NA 83 0 NA 156 0 NA 242 0
1471856400.0 134.99601 NA 45 0 NA 87 0 NA 180 0 NA 225 0
1471856400.0 134.99602 NA 43 0 NA 88 0 NA 291 0 NA 316 0
1471856400.0 134.99603 NA 45 0 NA 87 0 NA 335 0 NA 395 0
1471856400.0 134.99901 NA 41 0 NA 88 0 NA 264 0 NA 573 0
1471856400.0 1340.0 NA 158 0 NA 220 0 NA 1043 0 NA 1240 0
1471856400.0 1341.0 NA 166 0 NA 231 0 NA 1541 0 NA 2756 0
1471856400.0 1343.0 NA 168 0 NA 227 0 NA 1176 0 NA 1280 0
1471856400.0 1344.0 NA 165 0 NA 226 0 NA 1234 0 NA 1665 0
1471856400.0 1345.0 NA 164 0 NA 230 0 NA 1185 0 NA 1433 0
1471856400.0 1347.0 NA 163 0 NA 228 0 NA 1182 0 NA 1418 0
1471856400.0 1348.0 NA 157 0 NA 220 0 NA 1072 0 NA 1246 0
1471856400.0 1349.0 NA 163 0 NA 222 0 NA 1094 0 NA 1152 0
1471856400.0 135.1 229 0 100 306 0 144 2192 848 524 2499 898 577
1471856400.0 135.11 238 0 101 315 0 147 3018 778 728 3169 798 803
1471856400.0 135.12 227 0 100 303 0 144 2019 808 541 2454 894 670
1471856400.0 135.13 193 0 NA 258 0 NA 1106 242 NA 1245 254 NA
1471856400.0 135.2 212 0 99 284 0 143 1518 775 527 1903 870 643
1471856400.0 135.3 213 0 99 284 0 143 1523 776 525 1886 920 660
1471856400.0 135.4 224 0 100 302 0 144 2117 829 547 2466 922 685
1471856400.0 135.5 229 0 100 301 0 143 1734 795 553 1890 829 654
1471856400.0 135.6 232 0 101 303 0 143 1503 535 359 1829 582 429
1471856400.0 135.7 226 0 101 301 0 143 1765 508 298 1953 516 338
1471856400.0 135.8 83 NA NA 142 NA NA 411 NA NA 856 NA NA
1471856400.0 135.9 229 0 101 302 0 143 1488 746 619 1565 767 876
1471856400.0 1350.0 NA 160 0 NA 221 0 NA 930 0 NA 974 0
1471856400.0 1351.0 NA 160 0 NA 225 0 NA 1141 0 NA 1376 0
1471856400.0 1352.0 NA 165 0 NA 229 0 NA 1169 0 NA 1285 0
1471856400.0 1353.0 NA 169 0 NA 227 0 NA 1140 0 NA 1194 0
1471856400.0 1354.0 NA 161 0 NA 228 0 NA 1158 0 NA 1300 0
1471856400.0 1355.0 NA 166 0 NA 229 0 NA 1233 0 NA 1460 0
1471856400.0 1356.0 59 160 0 105 214 0 6944 709 0 7563 1139 0
1471856400.0 136.721 NA 159 0 NA 223 0 NA 3115 0 NA 3508 0
1471856400.0 136.722 NA 169 0 NA 232 0 NA 4070 0 NA 4578 0
1471856400.0 136.723 NA 156 0 NA 227 0 NA 3557 0 NA 4259 0
1471856400.0 136.724 NA 175 0 NA 232 0 NA 4482 0 NA 4965 0
1471856400.0 136.725 NA 162 0 NA 227 0 NA 3542 0 NA 3967 0
1471856400.0 136.726 NA 170 0 NA 228 0 NA 4283 0 NA 4792 0
1471856400.0 136.727 NA 187 0 NA 279 0 NA 3714 0 NA 4241 0
1471856400.0 136.728 NA 187 0 NA 271 0 NA 3993 0 NA 4419 0
1471856400.0 136.729 NA 159 0 NA 222 0 NA 3364 0 NA 3640 0
1471856400.0 136.73 NA 174 0 NA 226 0 NA 4003 0 NA 4489 0
1471856400.0 136.731 NA 172 0 NA 226 0 NA 4179 0 NA 4726 0
1471856400.0 136.732 NA 159 0 NA 223 0 NA 2398 0 NA 2870 0
1471856400.0 136.7321 NA 160 0 NA 225 0 NA 2485 0 NA 2939 0
1471856400.0 136.733 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 136.734 NA 163 0 NA 228 0 NA 3622 0 NA 4072 0
1471856400.0 136.735 NA 154 0 NA 212 0 NA 1622 0 NA 2370 0
1471856400.0 1360.0 70 174 0 156 215 0 3342 585 0 5876 663 0
1471856400.0 1361.0 60 163 0 156 213 0 6834 786 0 9447 867 0
1471856400.0 1362.0 61 163 0 157 214 0 5761 690 0 8083 782 0
1471856400.0 1363.0 62 163 0 157 215 0 7855 706 0 10203 788 0
1471856400.0 1364.0 NA 159 0 NA 222 0 NA 1115 0 NA 1447 0
1471856400.0 1365.0 NA 162 0 NA 226 0 NA 1165 0 NA 1389 0
1471856400.0 1366.0 NA 163 0 NA 220 0 NA 1227 0 NA 1346 0
1471856400.0 139901.0 NA 165 0 NA 224 0 NA 1211 0 NA 1333 0
1471856400.0 139902.0 NA 161 0 NA 228 0 NA 1339 0 NA 1920 0
1471856400.0 13992501.0 NA 208 0 NA 275 0 NA 3483 0 NA 6713 0
1471856400.0 13992502.0 NA 206 0 NA 279 0 NA 3140 0 NA 6502 0
1471856400.0 14.0 NA 81 0 NA 152 0 NA 3786 0 NA 3866 0
1471856400.0 140.2 NA 147 0 NA 198 0 NA 295 0 NA 354 0
1471856400.0 140.4 NA 141 0 NA 198 0 NA 379 0 NA 820 0
1471856400.0 140.51 NA 34 0 NA 71 0 NA 458 0 NA 796 0
1471856400.0 140.52 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 140.53 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 144.6 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 145.0 NA 239 0 NA 312 0 NA 4134 0 NA 4334 0
1471856400.0 15.0 NA 78 0 NA 151 0 NA 1809 0 NA 2246 0
1471856400.0 17.0 NA 78 0 NA 151 0 NA 1825 0 NA 1936 0
1471856400.0 18.0 NA 86 0 NA 151 0 NA 1782 0 NA 2165 0
1471856400.0 19.0 NA 78 0 NA 151 0 NA 1853 0 NA 1937 0
1471856400.0 2.0 53 65 123 98 136 175 9302 691 993 9416 722 1048
1471856400.0 20.0 NA 83 0 NA 161 0 NA 1934 0 NA 1971 0
1471856400.0 200.0 NA 85 0 NA 152 0 NA 734 0 NA 1258 0
1471856400.0 202.0 NA 92 0 NA 152 0 NA 776 0 NA 1227 0
1471856400.0 203.0 NA 84 0 NA 152 0 NA 702 0 NA 1442 0
1471856400.0 204.0 51 92 0 96 149 0 7961 753 0 8191 1168 0
1471856400.0 205.0 NA 85 0 NA 152 0 NA 710 0 NA 1493 0
1471856400.0 21.0 NA 84 0 NA 152 0 NA 3461 0 NA 3490 0
1471856400.0 22.0 NA 84 0 NA 151 0 NA 2042 0 NA 2098 0
1471856400.0 23.0 NA 82 0 NA 152 0 NA 3967 0 NA 4064 0
1471856400.0 24.0 NA 83 0 NA 153 0 NA 3636 0 NA 4049 0
1471856400.0 25.0 NA 82 0 NA 153 0 NA 3962 0 NA 6733 0
1471856400.0 250199.0 149 NA NA 214 NA NA 6589 NA NA 9772 NA NA
1471856400.0 250200.0 NA 233 0 NA 338 0 NA 13190 0 NA 14700 0
1471856400.0 250200.1 58 197 170 104 263 232 8019 1732 1744 8388 1907 1838
1471856400.0 250202.0 NA 254 0 NA 349 0 NA 15332 0 NA 17020 0
1471856400.0 250203.0 NA 230 0 NA 335 0 NA 13835 0 NA 15278 0
1471856400.0 250204.0 NA 228 0 NA 343 0 NA 13433 0 NA 14652 0
1471856400.0 250205.0 NA 227 0 NA 348 0 NA 13203 0 NA 14672 0
1471856400.0 250206.0 NA 224 0 NA 336 0 NA 12695 0 NA 13425 0
