Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470819600.0 134.906 NA 109 199 0 NA NA NA NA 168 266 0 NA NA NA NA 3770 11927 1123 NA NA NA NA 4461 13056 1143 NA NA NA
1470819600.0 134.907 NA 133 215 0 NA NA NA NA 209 280 0 NA NA NA NA 4245 11266 1172 NA NA NA NA 4381 16138 1189 NA NA NA
1470819600.0 134.908 NA 134 222 0 NA NA NA NA 210 281 0 NA NA NA NA 2776 7353 828 NA NA NA NA 3489 7573 843 NA NA NA
1470819600.0 134.909 NA 105 203 0 NA NA NA NA 169 262 0 NA NA NA NA 2272 7151 907 NA NA NA NA 2455 7722 928 NA NA NA
1470819600.0 134.91 NA 107 204 0 NA NA NA NA 168 261 0 NA NA NA NA 2966 9433 1156 NA NA NA NA 3325 9842 1188 NA NA NA
1470819600.0 134.911 NA 109 203 0 NA NA NA NA 169 263 0 NA NA NA NA 3214 10027 1121 NA NA NA NA 3652 10408 1137 NA NA NA
1470819600.0 134.912 NA 98 196 0 NA NA NA NA 164 256 0 NA NA NA NA 1330 3663 597 NA NA NA NA 1790 3771 638 NA NA NA
1470819600.0 135.1 178 0 90 NA NA NA NA 247 0 143 NA NA NA NA 1020 209 271 NA NA NA NA 1716 235 322 NA NA NA NA
1470819600.0 135.11 185 0 90 NA NA NA NA 253 0 143 NA NA NA NA 1365 221 406 NA NA NA NA 1681 265 536 NA NA NA NA
1470819600.0 135.12 178 0 90 NA NA NA NA 247 0 142 NA NA NA NA 996 206 295 NA NA NA NA 1397 221 400 NA NA NA NA
1470819600.0 135.2 170 0 86 NA NA NA NA 229 0 142 NA NA NA NA 715 198 264 NA NA NA NA 929 237 362 NA NA NA NA
1470819600.0 135.3 169 0 87 NA NA NA NA 229 0 142 NA NA NA NA 579 147 227 NA NA NA NA 950 159 324 NA NA NA NA
1470819600.0 135.4 183 0 91 NA NA NA NA 246 0 142 NA NA NA NA 946 223 302 NA NA NA NA 1501 242 397 NA NA NA NA
1470819600.0 135.5 177 0 90 NA NA NA NA 246 0 142 NA NA NA NA 970 210 294 NA NA NA NA 1264 248 401 NA NA NA NA
1470819600.0 135.6 183 0 93 NA NA NA NA 247 0 143 NA NA NA NA 770 178 249 NA NA NA NA 873 195 297 NA NA NA NA
1470819600.0 135.7 177 0 89 NA NA NA NA 246 0 142 NA NA NA NA 844 193 272 NA NA NA NA 1473 210 341 NA NA NA NA
1470819600.0 135.8 77 NA NA NA NA NA NA 128 NA NA NA NA NA NA 321 NA NA NA NA NA NA 1236 NA NA NA NA NA NA
1470819600.0 135.9 182 0 93 NA NA NA NA 247 0 142 NA NA NA NA 909 242 288 NA NA NA NA 1363 270 407 NA NA NA NA
1470819600.0 14.0 NA 64 169 0 NA NA NA NA 140 227 0 NA NA NA NA 1771 1961 653 NA NA NA NA 1864 2027 672 NA NA NA
1470819600.0 140.1 NA 84 198 0 NA NA NA NA 152 263 0 NA NA NA NA 355 763 873 NA NA NA NA 446 914 920 NA NA NA
1470819600.0 140.2 NA 80 195 0 NA NA NA NA 151 263 0 NA NA NA NA 307 867 874 NA NA NA NA 422 1643 936 NA NA NA
1470819600.0 140.4 NA 89 196 0 NA NA NA NA 151 263 0 NA NA NA NA 363 737 1027 NA NA NA NA 532 857 1045 NA NA NA
1470819600.0 140.51 NA 30 192 0 NA NA NA NA 80 243 0 NA NA NA NA 2546 1800 772 NA NA NA NA 2736 1840 808 NA NA NA
1470819600.0 140.52 NA 188 182 0 NA NA NA NA 252 236 0 NA NA NA NA 2076 1553 902 NA NA NA NA 3306 1712 1990 NA NA NA
1470819600.0 140.53 NA 218 0 NA NA NA NA NA 283 0 NA NA NA NA NA 3206 628 NA NA NA NA NA 3277 637 NA NA NA NA
1470819600.0 144.6 NA 185 NA NA NA NA NA NA 245 NA NA NA NA NA NA 2042 NA NA NA NA NA NA 2685 NA NA NA NA NA
1470819600.0 145.0 NA 175 281 0 NA NA NA NA 246 353 0 NA NA NA NA 3064 3132 874 NA NA NA NA 3317 3468 907 NA NA NA
1470819600.0 15.0 NA 67 168 0 NA NA NA NA 140 227 0 NA NA NA NA 1727 1159 772 NA NA NA NA 1843 1361 788 NA NA NA
1470819600.0 16.0 NA 65 170 0 NA NA NA NA 140 227 0 NA NA NA NA 1761 1437 688 NA NA NA NA 1961 1760 738 NA NA NA
1470819600.0 160134.701 NA 93 0 NA NA NA NA NA 156 0 NA NA NA NA NA 816 37 NA NA NA NA NA 1116 51 NA NA NA NA
1470819600.0 160134.702 NA 97 0 NA NA NA NA NA 159 0 NA NA NA NA NA 1063 29 NA NA NA NA NA 1229 43 NA NA NA NA
1470819600.0 160134.703 NA 95 0 NA NA NA NA NA 158 0 NA NA NA NA NA 1101 32 NA NA NA NA NA 1269 43 NA NA NA NA
1470819600.0 160134.704 NA 92 0 NA NA NA NA NA 158 0 NA NA NA NA NA 970 29 NA NA NA NA NA 1190 50 NA NA NA NA
1470819600.0 160134.705 NA 101 0 NA NA NA NA NA 158 0 NA NA NA NA NA 1093 28 NA NA NA NA NA 1846 39 NA NA NA NA
1470819600.0 160134.706 NA 95 0 NA NA NA NA NA 158 0 NA NA NA NA NA 1060 28 NA NA NA NA NA 1272 60 NA NA NA NA
1470819600.0 160134.707 NA 103 0 NA NA NA NA NA 157 0 NA NA NA NA NA 988 28 NA NA NA NA NA 1075 34 NA NA NA NA
1470819600.0 160134.708 NA 95 0 NA NA NA NA NA 158 0 NA NA NA NA NA 909 27 NA NA NA NA NA 2185 47 NA NA NA NA
1470819600.0 160134.709 NA 91 0 NA NA NA NA NA 158 0 NA NA NA NA NA 1178 28 NA NA NA NA NA 2441 101 NA NA NA NA
1470819600.0 160134.71 NA 99 0 NA NA NA NA NA 160 0 NA NA NA NA NA 780 28 NA NA NA NA NA 1042 72 NA NA NA NA
1470819600.0 160134.801 NA 96 0 NA NA NA NA NA 160 0 NA NA NA NA NA 810 30 NA NA NA NA NA 1018 1020 NA NA NA NA
1470819600.0 160134.802 NA 94 0 NA NA NA NA NA 159 0 NA NA NA NA NA 1148 28 NA NA NA NA NA 1315 37 NA NA NA NA
1470819600.0 160134.803 NA 96 0 NA NA NA NA NA 160 0 NA NA NA NA NA 1001 28 NA NA NA NA NA 2047 39 NA NA NA NA
1470819600.0 160134.804 NA 96 0 NA NA NA NA NA 159 0 NA NA NA NA NA 1233 30 NA NA NA NA NA 1904 41 NA NA NA NA
1470819600.0 160134.805 NA 105 0 NA NA NA NA NA 160 0 NA NA NA NA NA 1207 33 NA NA NA NA NA 2073 103 NA NA NA NA
1470819600.0 160134.806 NA 99 0 NA NA NA NA NA 160 0 NA NA NA NA NA 1545 28 NA NA NA NA NA 2448 96 NA NA NA NA
1470819600.0 160134.807 NA 104 0 NA NA NA NA NA 166 0 NA NA NA NA NA 1276 34 NA NA NA NA NA 2128 91 NA NA NA NA
1470819600.0 160134.808 NA 112 0 NA NA NA NA NA 172 0 NA NA NA NA NA 1190 35 NA NA NA NA NA 2192 108 NA NA NA NA
