Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470646800.0 1302.0 89 180 191 NA NA 168 307 291 NA NA 14023 1185 1093 NA NA 4639 832 850 NA NA
1470646800.0 1303.0 91 187 204 NA NA 163 306 286 NA NA 12307 564 1069 NA NA 4600 439 658 NA NA
1470646800.0 1306.0 NA 185 438 0 NA NA 305 571 0 NA NA 908 3285 1935 NA NA 731 3204 1948 NA
1470646800.0 1307.0 NA 170 199 54 0 NA 291 274 89 0 NA 572 1011 58 498 NA 464 1013 62 508
1470646800.0 1308.0 NA 161 198 51 0 NA 288 272 87 0 NA 565 985 46 438 NA 862 1023 58 507
1470646800.0 1309.0 NA 207 468 0 NA NA 325 564 0 NA NA 1080 3288 2077 NA NA 737 3233 2090 NA
1470646800.0 131.0 53 92 363 NA NA 100 184 441 NA NA 1565 428 604 NA NA 730 296 558 NA NA
1470646800.0 1311.0 NA 180 445 0 70 NA 328 547 0 106 NA 892 2775 1955 193 NA 733 2753 1997 279
1470646800.0 1312.0 NA 201 456 0 NA NA 345 558 0 NA NA 775 2033 1190 NA NA 772 1816 1202 NA
1470646800.0 1313.0 NA 220 465 0 NA NA 321 577 0 NA NA 1102 4476 1918 NA NA 862 3408 1929 NA
1470646800.0 1314.0 NA 196 452 0 NA NA 313 567 0 NA NA 656 1939 1236 NA NA 500 2086 1252 NA
1470646800.0 1315.0 NA 188 438 0 NA NA 307 567 0 NA NA 1156 3391 2005 NA NA 892 3338 2036 NA
1470646800.0 1316.0 NA 188 445 0 NA NA 324 563 0 NA NA 612 1805 1148 NA NA 491 1742 1160 NA
1470646800.0 1317.0 NA 190 434 0 NA NA 311 564 0 NA NA 902 2745 1861 NA NA 673 2684 1886 NA
1470646800.0 1318.0 NA 183 442 0 NA NA 316 563 0 NA NA 904 2686 1759 NA NA 678 2632 1777 NA
1470646800.0 1319.0 NA 187 441 0 NA NA 290 565 0 NA NA 577 1751 1128 NA NA 478 1747 1150 NA
1470646800.0 132.0 74 91 373 NA NA 153 199 474 NA NA 6931 479 861 NA NA 2324 325 671 NA NA
